frame,time_s,stretch_score,shear_score,bend_score
41,0.68333333,0.011154684,0.007322111992,0.03012871228
42,0.70000000,0.01191692951,0.007873555859,0.03195105179
43,0.71666667,0.01262884799,0.008478746704,0.03401758611
44,0.73333333,0.01318068512,0.008979439679,0.03591516936
45,0.75000000,0.01336797428,0.009182583785,0.03692000561
46,0.76666667,0.01309941987,0.009142338254,0.0367726844
47,0.78333333,0.01244966206,0.008915869245,0.03571494872
48,0.80000000,0.01164506892,0.008540143418,0.03397903847
49,0.81666667,0.01096141627,0.008099861554,0.03211793768
50,0.83333333,0.01058350074,0.007645024292,0.03054010144
51,0.85000000,0.0105052186,0.007286657903,0.02962518015
52,0.86666667,0.01071725418,0.007120902342,0.02966176835
53,0.88333333,0.01113353845,0.007153457179,0.030465907
54,0.90000000,0.01164999451,0.007388085029,0.03169030114
55,0.91666667,0.01215212442,0.007749686061,0.03313907513
56,0.93333333,0.01259554055,0.00822844527,0.03465993502
57,0.95000000,0.0129842242,0.008693015855,0.03598075956
58,0.96666667,0.01321399395,0.009069990576,0.03692108172
59,0.98333333,0.01323502454,0.009127996373,0.03725516937
60,1.00000000,0.01290685318,0.008939034216,0.03671124769
61,1.01666667,0.01224124579,0.008581981002,0.03550794078
62,1.03333333,0.01151902267,0.008184081347,0.03400391381
63,1.05000000,0.01110150987,0.007985467618,0.03257999442
64,1.06666667,0.01116838294,0.008092451765,0.03197751633
65,1.08333333,0.01167939969,0.008562772627,0.03211139257
66,1.10000000,0.01239650497,0.009214641661,0.032690423
67,1.11666667,0.0130648661,0.00984730324,0.03376174814
68,1.13333333,0.01354343516,0.01034225032,0.03483999657
69,1.15000000,0.01374452439,0.01064817401,0.03569941981
70,1.16666667,0.01367243854,0.01069992371,0.03606217243
71,1.18333333,0.01336742606,0.0104738305,0.03596125215
72,1.20000000,0.01290804577,0.009994832444,0.03542406194
73,1.21666667,0.01237179588,0.009345230351,0.03457408069
74,1.23333333,0.01186425588,0.008733592754,0.03381607023
75,1.25000000,0.01159592602,0.008408241034,0.03332174082
76,1.26666667,0.01170853263,0.008529949371,0.03330956777
77,1.28333333,0.01216925846,0.009103263824,0.03369660085
78,1.30000000,0.01284858661,0.01010279659,0.0344543257
79,1.31666667,0.01364389905,0.01110578485,0.03557790049
80,1.33333333,0.01428529769,0.01202068563,0.03650935839
81,1.35000000,0.01465141732,0.01280760209,0.03685355403
82,1.36666667,0.0146585522,0.01341705308,0.03666511933
83,1.38333333,0.0144026222,0.01370295423,0.03640050566
84,1.40000000,0.01419853681,0.01354858089,0.03591857671
85,1.41666667,0.01404435244,0.01302028624,0.03529996179
86,1.43333333,0.01379887716,0.01234986787,0.03467809838
87,1.45000000,0.01341204471,0.01159150101,0.03439494337
88,1.46666667,0.01303484062,0.01076853117,0.03441246085
89,1.48333333,0.01273476,0.009974698172,0.03452064816
90,1.50000000,0.01253485396,0.009330115684,0.03456593077
91,1.51666667,0.01239351127,0.008930171029,0.03438658985
92,1.53333333,0.01223020605,0.008863491451,0.03413094307
93,1.55000000,0.01204701054,0.009058278631,0.03373998777
94,1.56666667,0.01186711546,0.009464762769,0.03345633575
95,1.58333333,0.01190480386,0.00994471313,0.03318984204
96,1.60000000,0.01206021043,0.01045846883,0.03317086545
97,1.61666667,0.01228520922,0.01112695329,0.03360670965
98,1.63333333,0.01257510973,0.0116854567,0.03438585107
99,1.65000000,0.01293191063,0.01222144336,0.03472223578
100,1.66666667,0.01328095824,0.0126935205,0.03515170828
101,1.68333333,0.01357561014,0.01323021767,0.03568339847
102,1.70000000,0.01363422431,0.01352108364,0.0359293735
103,1.71666667,0.01366901799,0.01384454919,0.03583037014
104,1.73333333,0.01375123135,0.01419371757,0.03530121848
105,1.75000000,0.01385725689,0.01459200424,0.0347002004
106,1.76666667,0.01395241831,0.0147791187,0.03437189561
107,1.78333333,0.01398017069,0.01477301832,0.03431321196
108,1.80000000,0.0140066475,0.01464657637,0.03439280744
109,1.81666667,0.01403799932,0.0143704325,0.03457405973
